t,Observations,Fit,Trend,Seasonal,Random
99,9292,9247.812933,9630.166667,0.96029625,1.00477811
100,9427,9303.191866,9678.625,0.961210075,1.013308135
101,9503,9574.965514,9735.458333,0.983514611,0.992483992
102,9165,9173.597174,9813.291667,0.934813464,0.999062835
103,8880,9227.618856,9873.083333,0.93462382,0.962328434
104,10351,10249.57582,9910.166667,1.034248582,1.009895451
105,9692,9326.950872,9933.833333,0.938907525,1.039139171
106,9833,10000.34285,9953.541667,1.004701963,0.983266288
107,11506,11280.03117,9971.958333,1.13117512,1.020032643
108,16395,15865.93073,9985.166667,1.588950016,1.033346248
109,7222,7466.579339,9998.5,0.746769949,0.967243455
110,7834,7820.053537,10015.58333,0.780788625,1.001783423
111,9504,9595.880311,9992.625,0.96029625,0.990425025
112,9688,9573.492149,9959.833333,0.961210075,1.011960928
113,9684,9783.470612,9947.458333,0.983514611,0.989832789
114,9301,9291.617374,9939.541667,0.934813464,1.001009795
115,9064,9303.323385,9954.083333,0.93462382,0.974275495
116,10577,10312.10477,9970.625,1.034248582,1.025687795
117,8915,9394.004518,10005.25,0.938907525,0.94900955
118,9823,10074.31404,10027.16667,1.004701963,0.97505398
119,11219,11344.83807,10029.25,1.13117512,0.9889079
120,16492,15965.70355,10047.95833,1.588950016,1.032964188
121,7474,7519.755583,10069.70833,0.746769949,0.993915283
122,7979,7879.230808,10091.375,0.780788625,1.012662301
123,10190,9709.475355,10110.91667,0.96029625,1.049490279
124,9528,9753.959341,10147.58333,0.961210075,0.97683409
125,9894,10027.01342,10195.08333,0.983514611,0.986734493
126,9540,9563.959696,10230.875,0.934813464,0.997494793
127,9347,9594.030335,10265.125,0.93462382,0.974251662
128,10814,10634.91961,10282.75,1.034248582,1.016838904
129,9147,9644.145131,10271.66667,0.938907525,0.948451094
130,10471,10329.92696,10281.58333,1.004701963,1.013656732
131,11711,11682.58811,10327.83333,1.13117512,1.002431986
132,16859,16473.90273,10367.79167,1.588950016,1.023376201
133,7929,7777.204523,10414.45833,0.746769949,1.019518
134,7947,8169.554045,10463.20833,0.780788625,0.972758116
135,9956,10098.79546,10516.33333,0.96029625,0.985860149
136,10000,10161.19201,10571.25,0.961210075,0.984136506
137,10532,10434.84414,10609.75,0.983514611,1.009310715
138,9861,9973.291142,10668.75,0.934813464,0.988740814
139,10146,10036.18529,10738.20833,0.93462382,1.010941878
140,11185,11190.39728,10819.83333,1.034248582,0.999517686
141,10051,10242.81604,10909.29167,0.938907525,0.981273115
142,10885,11041.54899,10989.875,1.004701963,0.985821827
143,12221,12500.28633,11050.70833,1.13117512,0.977657606
144,17765,17626.42114,11093.125,1.588950016,1.007861996
145,8690,8321.413124,11143.20833,0.746769949,1.044293784
146,9145,8728.728832,11179.375,0.780788625,1.047689781
147,10905,10765.40111,11210.5,0.96029625,1.012967366
148,10985,10829.99397,11267.04167,0.961210075,1.014312661
149,11007,11139.90118,11326.625,0.983514611,0.988069806
150,10404,10658.19781,11401.41667,0.934813464,0.97615002
151,10805,10711.87937,11461.16667,0.93462382,1.008693212
152,11394,11880.1549,11486.75,1.034248582,0.959078404
153,10589,10832.52821,11537.375,0.938907525,0.977518802
154,11704,11650.94259,11596.41667,1.004701963,1.004553915
155,12832,13167.86818,11640.875,1.13117512,0.974493352
156,18949,18601.77163,11706.95833,1.588950016,1.018666414
157,8940,8790.851383,11771.83333,0.746769949,1.016966345
158,9509,9231.589239,11823.41667,0.780788625,1.030050163
159,11756,11407.15909,11878.79167,0.96029625,1.030580876
160,11551,11468.39766,11931.20833,0.961210075,1.007202605
161,11508,11796.92992,11994.66667,0.983514611,0.975508041
162,11489,11297.37651,12085.16667,0.934813464,1.016961769
163,11277,11369.03674,12164.29167,0.93462382,0.991904614
164,12160,12618.5222,12200.66667,1.034248582,0.963662766
