t,Observations,Fit,Trend,Seasonal,Random
100,19863,20389.07402,20415.29167,0.998715784,0.974198239
101,21306,21949.2637,20628.33333,1.064034759,0.970693154
102,22322,22081.87166,20781.54167,1.062571392,1.010874456
103,22314,22675.48334,20917.25,1.08405662,0.984058406
104,22153,22794.52555,21019.66667,1.084438013,0.971856157
105,21637,21320.64552,21026.16667,1.014005351,1.014837941
106,21632,21498.6916,21089.33333,1.019410678,1.006200768
107,20764,20180.47373,21268.125,0.94886003,1.02891539
108,20911,20450.72967,21414.375,0.955000072,1.022506304
109,19833,19555.19358,21448.54167,0.911726022,1.014206273
110,18776,18741.22394,21467.875,0.872989243,1.001855592
111,20684,21148.52348,21488.20833,0.984192035,0.978035182
112,21617,21410.63543,21438.16667,0.998715784,1.009638414
113,23843,22665.40342,21301.375,1.064034759,1.051955686
114,23295,22404.67199,21085.33333,1.062571392,1.039738498
115,22161,22621.68703,20867.625,1.08405662,0.97963516
116,22770,22436.9773,20689.95833,1.084438013,1.014842583
117,21508,20861.08984,20572.95833,1.014005351,1.031010372
118,20560,20918.6894,20520.375,1.019410678,0.982853161
119,18553,19389.79658,20434.83333,0.94886003,0.956843458
120,17937,19387.81459,20301.375,0.955000072,0.92516874
121,17582,18479.12894,20268.29167,0.911726022,0.951451773
122,16763,17736.74069,20317.25,0.872989243,0.945100359
123,19889,20004.44125,20325.75,0.984192035,0.994229219
124,21150,20363.19064,20389.375,0.998715784,1.038638805
125,22257,21871.32315,20555.08333,1.064034759,1.017633906
126,21678,22074.12374,20774.25,1.062571392,0.982054837
127,22984,22816.09452,21046.95833,1.08405662,1.007359081
128,23122,23169.7411,21365.66667,1.084438013,0.997939506
129,21360,22003.91612,21700,1.014005351,0.970736294
130,22235,22360.4759,21934.70833,1.019410678,0.994388496
131,20855,20920.07059,22047.58333,0.94886003,0.996889562
132,20895,21141.7916,22138,0.955000072,0.988326836
133,21169,20265.73206,22227.875,0.911726022,1.044571197
134,20825,19509.89097,22348.375,0.872989243,1.067407298
135,23851,22156.41814,22512.29167,0.984192035,1.076482663
136,22821,22629.31837,22658.41667,0.998715784,1.0084705
137,23295,24222.83997,22765.08333,1.064034759,0.961695657
138,22810,24306.49769,22875.16667,1.062571392,0.938432196
139,24009,24940.57448,23006.70833,1.08405662,0.962648235
140,24989,25102.70668,23148.125,1.084438013,0.995470342
141,23427,23622.09966,23295.83333,1.014005351,0.991740799
142,23675,23969.27585,23512.875,1.019410678,0.987722789
143,21975,22656.16816,23877.25,0.94886003,0.969934538
144,22417,23238.61363,24333.625,0.955000072,0.964644465
145,22804,22601.38418,24789.66667,0.911726022,1.008964753
146,22584,21971.79338,25168.45833,0.872989243,1.027863298
147,25637,25087.7521,25490.70833,0.984192035,1.02189307
148,26244,25868.27849,25901.54167,0.998715784,1.014524411
149,28617,28076.06451,26386.41667,1.064034759,1.019266785
150,28441,28508.92327,26830.125,1.062571392,0.997617473
151,29323,29433.31163,27151.08333,1.08405662,0.99625215
152,28766,29679.12546,27368.20833,1.084438013,0.969233411
153,27384,28013.12309,27626.20833,1.014005351,0.977541844
154,29578,28506.4604,27963.66667,1.019410678,1.03758936
155,27709,26805.96797,28250.70833,0.94886003,1.033687723
156,27332,27218.37747,28500.91667,0.955000072,1.004174478
157,25592,26290.34164,28835.79167,0.911726022,0.973437331
158,25007,25611.83115,29338.08333,0.872989243,0.976384697
159,29406,29545.48589,30020.04167,0.984192035,0.995278944
160,30574,30643.5964,30683,0.998715784,0.997728844
161,31176,33116.97352,31123.95833,1.064034759,0.941390371
162,31887,33404.85378,31437.75,1.062571392,0.954561879
163,33914,34495.35919,31820.625,1.08405662,0.983146742
164,36230,34936.84242,32216.54167,1.084438013,1.037014151
165,36287,33038.57586,32582.25,1.014005351,1.09832216
166,36586,33637.96138,32997.45833,1.019410678,1.087640229
167,31284,31836.82385,33552.70833,0.94886003,0.98263571
168,31288,32645.0858,34183.33333,0.955000072,0.958429094
169,30825,31696.30712,34765.16667,0.911726022,0.972510769
170,29276,30769.63347,35246.29167,0.872989243,0.951457548
171,33914,34828.9978,35388.41667,0.984192035,0.973728851
172,36031,35143.14391,35188.33333,0.998715784,1.025263991
173,39045,37305.103,35060.04167,1.064034759,1.046639651
174,39153,37327.82308,35129.70833,1.062571392,1.048895884
175,40612,38150.97879,35192.79167,1.08405662,1.06450742
176,41079,38193.13867,35219.29167,1.084438013,1.07555968
177,34849,35805.62746,35311.08333,1.014005351,0.973282762
178,33222,36096.86488,35409.54167,1.019410678,0.920356937
179,31569,33718.25514,35535.54167,0.94886003,0.936258412
180,32675,34084.46986,35690.54167,0.955000072,0.95864774
181,30952,32596.06674,35752.04167,0.911726022,0.94956242
182,29785,31190.12329,35727.95833,0.872989243,0.954949736
183,35608,35251.46223,35817.66667,0.984192035,1.010114127
184,36700,36147.81038,36194.29167,0.998715784,1.01527588
185,41400,39150.53829,36794.41667,1.064034759,1.057456725
186,40518,39740.25861,37400.08333,1.062571392,1.019570617
187,40723,41178.25207,37985.33333,1.08405662,0.988944357
188,40390,41892.2471,38630.375,1.084438013,0.964140212
189,37691,39776.34566,39226.95833,1.014005351,0.947573221
190,39419,40559.3776,39787.08333,1.019410678,0.97188375
191,39775,38302.75145,40367.125,0.94886003,1.038437149
192,39005,39207.24942,41054.70833,0.955000072,0.99484153
193,38668,38203.7516,41902.66667,0.911726022,1.012151906
194,37550,37287.29841,42712.20833,0.872989243,1.007045337
195,42161,42689.00144,43374.66667,0.984192035,0.987631441
196,43590,43668.55636,43724.70833,0.998715784,0.998201077
197,48431,46128.34524,43352.29167,1.064034759,1.049918434
198,49989,45057.54295,42404.25,1.062571392,1.10944798
199,51603,44836.49148,41359.91667,1.08405662,1.15091521
200,48939,43747.35906,40341.04167,1.084438013,1.118673242
201,45041,39801.65355,39251.91667,1.014005351,1.131636402
202,40470,38805.14173,38066.25,1.019410678,1.042903033
203,29786,34921.25152,36803.375,0.94886003,0.852947667
204,26241,33946.19381,35545.75,0.955000072,0.773017445
205,26368,31271.82268,34299.58333,0.911726022,0.843187181
206,25397,28931.91836,33141.20833,0.872989243,0.877819427
207,28175,31668.01903,32176.66667,0.984192035,0.889698846
208,29120,31448.27003,31488.70833,0.998715784,0.925965084
209,32592,33453.96219,31440.66667,1.064034759,0.974234377
210,35645,34003.43566,32001.08333,1.062571392,1.048276426
211,36039,35451.90365,32703,1.08405662,1.016560362
212,36702,36117.97616,33305.70833,1.084438013,1.016169894
213,34129,34442.25501,33966.54167,1.014005351,0.990904921
214,34871,35418.87183,34744.45833,1.019410678,0.984531641
215,34232,33611.82468,35423.375,0.94886003,1.018451106
216,35245,34218.36883,35830.75,0.955000072,1.030002341
217,34210,32929.68249,36117.95833,0.911726022,1.038880348
218,32020,31778.04517,36401.41667,0.872989243,1.007613899
219,37412,36084.04768,36663.625,0.984192035,1.036801645
220,38553,36930.72033,36978.20833,0.998715784,1.043927648
221,39453,39672.66901,37285.125,1.064034759,0.994462964
222,38561,39948.92107,37596.45833,1.062571392,0.965257608
223,40016,41126.84972,37937.91667,1.08405662,0.972989671
224,39528,41536.82254,38302.625,1.084438013,0.951637549
225,37596,39336.01384,38792.70833,1.014005351,0.955765374
226,38954,40155.56355,39390.95833,1.019410678,0.970077283
227,37515,38011.17467,40059.83333,0.94886003,0.98694661
228,39434,38964.71919,40800.75,0.955000072,1.012043736
229,38216,NA,NA,NA,NA
230,36767,NA,NA,NA,NA
231,44427,NA,NA,NA,NA
232,45896,NA,NA,NA,NA
233,48163,NA,NA,NA,NA
234,47633,NA,NA,NA,NA
